epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,244.552,2.09731,2.35325,1.32174,0.01877,0.7444,0.24968,0.09299,1.85278,2.99581,1.27745,0.00056,0.00056,0.00056
2,532.285,2.03241,1.56659,1.24916,0.01446,0.31357,0.20986,0.09632,1.94275,3.03766,1.39553,0.00111743,0.00111743,0.00111743
3,809.672,2.04064,1.47611,1.27544,0.52966,0.31577,0.35121,0.15452,2.02796,2.29346,1.47065,0.00165189,0.00165189,0.00165189
4,1103.8,1.99472,1.43834,1.2603,0.61314,0.50329,0.50834,0.21391,2.00675,2.00711,1.36185,0.0018812,0.0018812,0.0018812
5,1426.1,1.95388,1.35955,1.2325,0.71149,0.63944,0.6832,0.28918,1.95199,1.44079,1.33262,0.0018416,0.0018416,0.0018416
6,1733.69,1.99263,1.35812,1.25226,0.63977,0.63491,0.63371,0.27308,1.94295,1.40772,1.33505,0.001802,0.001802,0.001802
7,2035.28,1.94416,1.30158,1.23941,0.60178,0.60826,0.59463,0.26262,1.94468,1.54845,1.33854,0.0017624,0.0017624,0.0017624
8,2349.26,1.94198,1.2777,1.22275,0.64622,0.63065,0.63753,0.28026,1.95092,1.37365,1.34218,0.0017228,0.0017228,0.0017228
9,2690.81,1.95147,1.26542,1.22034,0.53605,0.5314,0.50295,0.22238,1.974,1.53011,1.37117,0.0016832,0.0016832,0.0016832
10,2967.76,1.89377,1.23922,1.21818,0.69991,0.59772,0.65668,0.29773,1.9261,1.35085,1.34019,0.0016436,0.0016436,0.0016436
11,3246.54,1.93149,1.21388,1.21511,0.73615,0.62055,0.68766,0.31805,1.87056,1.31875,1.29318,0.001604,0.001604,0.001604
12,3515.85,1.91386,1.27224,1.21537,0.72182,0.6131,0.68367,0.30458,1.92284,1.30284,1.31796,0.0015644,0.0015644,0.0015644
13,3782.9,1.90036,1.18273,1.19904,0.70877,0.6592,0.69777,0.30942,1.93174,1.24266,1.33191,0.0015248,0.0015248,0.0015248
14,4104.7,1.86108,1.17269,1.19982,0.74906,0.68072,0.73105,0.31431,1.90562,1.29311,1.30386,0.0014852,0.0014852,0.0014852
15,4456.06,1.88191,1.17165,1.19166,0.7075,0.64119,0.69473,0.3206,1.8921,1.22599,1.30636,0.0014456,0.0014456,0.0014456
16,4778.33,1.8917,1.18615,1.20534,0.75026,0.64385,0.71709,0.31908,1.9138,1.20251,1.31546,0.001406,0.001406,0.001406
17,5087.07,1.87941,1.16953,1.20902,0.75908,0.65867,0.71352,0.3194,1.9178,1.23451,1.29224,0.0013664,0.0013664,0.0013664
18,5355.85,1.88748,1.16914,1.20063,0.72125,0.6534,0.7088,0.31062,1.92584,1.23199,1.32228,0.0013268,0.0013268,0.0013268
19,279.93,2.20296,1.63264,2.32029,0.68411,0.62407,0.66474,0.27001,2.02178,1.48163,1.66934,0.0012872,0.0012872,0.0012872
20,561.925,2.0258,1.33006,1.47734,0.73018,0.66755,0.70493,0.29032,2.01548,1.32817,1.69952,0.0012476,0.0012476,0.0012476
